txtstrid	txtstr	scrlltxt	sfxnr
TEXT_VILE1	This does not bode well, for it confirms my darkest fears. While I did not allow myself to believe the ancient legends, I cannot deny them now. Perhaps the time has come to reveal who I am.\n \nMy true name is Deckard Cain the Elder, and I am the last descendant of an ancient Brotherhood that was dedicated to safeguarding the secrets of a timeless evil. An evil that quite obviously has now been released.\n \nThe Archbishop Lazarus, once King Leoric's most trusted advisor, led a party of simple townsfolk into the Labyrinth to find the King's missing son, Albrecht. Quite some time passed before they returned, and only a few of them escaped with their lives.\n \nCurse me for a fool! I should have suspected his veiled treachery then. It must have been Lazarus himself who kidnapped Albrecht and has since hidden him within the Labyrinth. I do not understand why the Archbishop turned to the darkness, or what his interest is in the child, unless he means to sacrifice him to his dark masters!\n \nThat must be what he has planned! The survivors of his 'rescue party' say that Lazarus was last seen running into the deepest bowels of the labyrinth. You must hurry and save the prince from the sacrificial blade of this demented fiend!	true	Cain36
TEXT_VILE2	You must hurry and rescue Albrecht from the hands of Lazarus. The prince and the people of this kingdom are counting on you!	true	Cain37
TEXT_VILE3	Your story is quite grim, my friend. Lazarus will surely burn in Hell for his horrific deed. The boy that you describe is not our prince, but I believe that Albrecht may yet be in danger. The symbol of power that you speak of must be a portal in the very heart of the labyrinth.\n \nKnow this, my friend - The evil that you move against is the dark Lord of Terror. He is known to mortal men as Diablo. It was he who was imprisoned within the Labyrinth many centuries ago and I fear that he seeks to once again sow chaos in the realm of mankind. You must venture through the portal and destroy Diablo before it is too late!	true	Cain38
TEXT_VILE4	Lazarus was the Archbishop who led many of the townspeople into the labyrinth. I lost many good friends that day, and Lazarus never returned. I suppose he was killed along with most of the others. If you would do me a favor, good master - please do not talk to Farnham about that day.	true	Ogden1
TEXT_VILE5		true	Cain38
TEXT_VILE6		true	Cain38
TEXT_VILE7	I was shocked when I heard of what the townspeople were planning to do that night. I thought that of all people, Lazarus would have had more sense than that. He was an Archbishop, and always seemed to care so much for the townsfolk of Tristram. So many were injured, I could not save them all...	true	Pepin3
TEXT_VILE8	I remember Lazarus as being a very kind and giving man. He spoke at my mother's funeral, and was supportive of my grandmother and myself in a very troubled time. I pray every night that somehow, he is still alive and safe.	true	Gillian3
TEXT_VILE9	I was there when Lazarus led us into the labyrinth. He spoke of holy retribution, but when we started fighting those hellspawn, he did not so much as lift his mace against them. He just ran deeper into the dim, endless chambers that were filled with the servants of darkness!	true	Griswold3
TEXT_VILE10	They stab, then bite, then they're all around you. Liar! LIAR! They're all dead! Dead! Do you hear me? They just keep falling and falling... their blood spilling out all over the floor... all his fault...	true	Farnham3
TEXT_VILE11	I did not know this Lazarus of whom you speak, but I do sense a great conflict within his being. He poses a great danger, and will stop at nothing to serve the powers of darkness which have claimed him as theirs.	true	Adria3
TEXT_VILE12	Yes, the righteous Lazarus, who was sooo effective against those monsters down there. Didn't help save my leg, did it? Look, I'll give you a free piece of advice. Ask Farnham, he was there.	true	Wirt3
TEXT_VILE13	Abandon your foolish quest. All that awaits you is the wrath of my Master! You are too late to save the child. Now you will join him in Hell!	false	LazarusGreeting
TEXT_VILE14		false	LazarusGreeting
TEXT_POISON1	Hmm, I don't know what I can really tell you about this that will be of any help. The water that fills our wells comes from an underground spring. I have heard of a tunnel that leads to a great lake - perhaps they are one and the same. Unfortunately, I do not know what would cause our water supply to be tainted.	true	Cain4
TEXT_POISON2	I have always tried to keep a large supply of foodstuffs and drink in our storage cellar, but with the entire town having no source of fresh water, even our stores will soon run dry. \n \nPlease, do what you can or I don't know what we will do.	true	Ogden2
TEXT_POISON3	I'm glad I caught up to you in time! Our wells have become brackish and stagnant and some of the townspeople have become ill drinking from them. Our reserves of fresh water are quickly running dry. I believe that there is a passage that leads to the springs that serve our town. Please find what has caused this calamity, or we all will surely perish.	true	Pepin20
TEXT_POISON4	Please, you must hurry. Every hour that passes brings us closer to having no water to drink. \n \nWe cannot survive for long without your help.	true	Pepin21
TEXT_POISON5	What's that you say - the mere presence of the demons had caused the water to become tainted? Oh, truly a great evil lurks beneath our town, but your perseverance and courage gives us hope. Please take this ring - perhaps it will aid you in the destruction of such vile creatures.	true	Pepin22
TEXT_POISON6	My grandmother is very weak, and Garda says that we cannot drink the water from the wells. Please, can you do something to help us?	true	Gillian4
TEXT_POISON7	Pepin has told you the truth. We will need fresh water badly, and soon. I have tried to clear one of the smaller wells, but it reeks of stagnant filth. It must be getting clogged at the source.	true	Griswold4
TEXT_POISON8	You drink water?	true	Farnham4
TEXT_POISON9	The people of Tristram will die if you cannot restore fresh water to their wells. \n \nKnow this - demons are at the heart of this matter, but they remain ignorant of what they have spawned.	true	Adria4
TEXT_POISON10	For once, I'm with you. My business runs dry - so to speak - if I have no market to sell to. You better find out what is going on, and soon!	true	Wirt4
TEXT_BONE1	A book that speaks of a chamber of human bones? Well, a Chamber of Bone is mentioned in certain archaic writings that I studied in the libraries of the East. These tomes inferred that when the Lords of the underworld desired to protect great treasures, they would create domains where those who died in the attempt to steal that treasure would be forever bound to defend it. A twisted, but strangely fitting, end?	true	Cain7
TEXT_BONE2	I am afraid that I don't know anything about that, good master. Cain has many books that may be of some help.	true	Ogden5
TEXT_BONE3	This sounds like a very dangerous place. If you venture there, please take great care.	true	Pepin5
TEXT_BONE4	I am afraid that I haven't heard anything about that. Perhaps Cain the Storyteller could be of some help.	true	Gillian6
TEXT_BONE5	I know nothing of this place, but you may try asking Cain. He talks about many things, and it would not surprise me if he had some answers to your question.	true	Griswold7
TEXT_BONE6	Okay, so listen. There's this chamber of wood, see. And his wife, you know - her - tells the tree... cause you gotta wait. Then I says, that might work against him, but if you think I'm gonna PAY for this... you... uh... yeah.	true	Farnham7
TEXT_BONE7	You will become an eternal servant of the dark lords should you perish within this cursed domain. \n \nEnter the Chamber of Bone at your own peril.	true	Adria7
TEXT_BONE8	A vast and mysterious treasure, you say? Maybe I could be interested in picking up a few things from you... or better yet, don't you need some rare and expensive supplies to get you through this ordeal?	true	Wirt7
TEXT_BUTCH1	It seems that the Archbishop Lazarus goaded many of the townsmen into venturing into the Labyrinth to find the King's missing son. He played upon their fears and whipped them into a frenzied mob. None of them were prepared for what lay within the cold earth... Lazarus abandoned them down there - left in the clutches of unspeakable horrors - to die.	true	Cain10
TEXT_BUTCH2	Yes, Farnham has mumbled something about a hulking brute who wielded a fierce weapon. I believe he called him a butcher.	true	Ogden8
TEXT_BUTCH3	By the Light, I know of this vile demon. There were many that bore the scars of his wrath upon their bodies when the few survivors of the charge led by Lazarus crawled from the Cathedral. I don't know what he used to slice open his victims, but it could not have been of this world. It left wounds festering with disease and even I found them almost impossible to treat. Beware if you plan to battle this fiend...	true	Pepin8
TEXT_BUTCH4	When Farnham said something about a butcher killing people, I immediately discounted it. But since you brought it up, maybe it is true.	true	Gillian8
TEXT_BUTCH5	I saw what Farnham calls the Butcher as it swathed a path through the bodies of my friends. He swung a cleaver as large as an axe, hewing limbs and cutting down brave men where they stood. I was separated from the fray by a host of small screeching demons and somehow found the stairway leading out. I never saw that hideous beast again, but his blood-stained visage haunts me to this day.	true	Griswold10
TEXT_BUTCH6	Big! Big cleaver killing all my friends. Couldn't stop him, had to run away, couldn't save them. Trapped in a room with so many bodies... so many friends... NOOOOOOOOOO!	true	Farnham10
TEXT_BUTCH7	The Butcher is a sadistic creature that delights in the torture and pain of others. You have seen his handiwork in the drunkard Farnham. His destruction will do much to ensure the safety of this village.	true	Adria10
TEXT_BUTCH8	I know more than you'd think about that grisly fiend. His little friends got a hold of me and managed to get my leg before Griswold pulled me out of that hole. \n \nI'll put it bluntly - kill him before he kills you and adds your corpse to his collection.	true	Wirt10
TEXT_BUTCH9	Please, listen to me. The Archbishop Lazarus, he led us down here to find the lost prince. The bastard led us into a trap! Now everyone is dead... killed by a demon he called the Butcher. Avenge us! Find this Butcher and slay him so that our souls may finally rest...	true	WoundedTownsman
TEXT_BUTCH10		true	ButcherGreeting
TEXT_BLIND1	You recite an interesting rhyme written in a style that reminds me of other works. Let me think now - what was it?\n \n...Darkness shrouds the Hidden. Eyes glowing unseen with only the sounds of razor claws briefly scraping to torment those poor souls who have been made sightless for all eternity. The prison for those so damned is named the Halls of the Blind...	true	Cain12
TEXT_BLIND2	I never much cared for poetry. Occasionally, I had cause to hire minstrels when the inn was doing well, but that seems like such a long time ago now. \n \nWhat? Oh, yes... uh, well, I suppose you could see what someone else knows.	true	Ogden10
TEXT_BLIND3	This does seem familiar, somehow. I seem to recall reading something very much like that poem while researching the history of demonic afflictions. It spoke of a place of great evil that... wait - you're not going there are you?	true	Pepin10
TEXT_BLIND4	If you have questions about blindness, you should talk to Pepin. I know that he gave my grandmother a potion that helped clear her vision, so maybe he can help you, too.	true	Gillian10
TEXT_BLIND5	I am afraid that I have neither heard nor seen a place that matches your vivid description, my friend. Perhaps Cain the Storyteller could be of some help.	true	Griswold12
TEXT_BLIND6	Look here... that's pretty funny, huh? Get it? Blind - look here?	true	Farnham12
TEXT_BLIND7	This is a place of great anguish and terror, and so serves its master well. \n \nTread carefully or you may yourself be staying much longer than you had anticipated.	true	Adria12
TEXT_BLIND8	Lets see, am I selling you something? No. Are you giving me money to tell you about this? No. Are you now leaving and going to talk to the storyteller who lives for this kind of thing? Yes.	true	Wirt11
TEXT_VEIL1	You claim to have spoken with Lachdanan? He was a great hero during his life. Lachdanan was an honorable and just man who served his King faithfully for years. But of course, you already know that.\n \nOf those who were caught within the grasp of the King's Curse, Lachdanan would be the least likely to submit to the darkness without a fight, so I suppose that your story could be true. If I were in your place, my friend, I would find a way to release him from his torture.	true	Cain13
TEXT_VEIL2	You speak of a brave warrior long dead! I'll have no such talk of speaking with departed souls in my inn yard, thank you very much.	true	Ogden11
TEXT_VEIL3	A golden elixir, you say. I have never concocted a potion of that color before, so I can't tell you how it would effect you if you were to try to drink it. As your healer, I strongly advise that should you find such an elixir, do as Lachdanan asks and DO NOT try to use it.	true	Pepin11
TEXT_VEIL4	I've never heard of a Lachdanan before. I'm sorry, but I don't think that I can be of much help to you.	true	Gillian11
TEXT_VEIL5	If it is actually Lachdanan that you have met, then I would advise that you aid him. I dealt with him on several occasions and found him to be honest and loyal in nature. The curse that fell upon the followers of King Leoric would fall especially hard upon him.	true	Griswold13
TEXT_VEIL6	 Lachdanan is dead. Everybody knows that, and you can't fool me into thinking any other way. You can't talk to the dead. I know!	true	Farnham13
TEXT_VEIL7	You may meet people who are trapped within the Labyrinth, such as Lachdanan. \n \nI sense in him honor and great guilt. Aid him, and you aid all of Tristram.	true	Adria13
TEXT_VEIL8	Wait, let me guess. Cain was swallowed up in a gigantic fissure that opened beneath him. He was incinerated in a ball of hellfire, and can't answer your questions anymore. Oh, that isn't what happened? Then I guess you'll be buying something or you'll be on your way.	true	Wirt12
TEXT_VEIL9	Please, don't kill me, just hear me out. I was once Captain of King Leoric's Knights, upholding the laws of this land with justice and honor. Then his dark Curse fell upon us for the role we played in his tragic death. As my fellow Knights succumbed to their twisted fate, I fled from the King's burial chamber, searching for some way to free myself from the Curse. I failed...\n \nI have heard of a Golden Elixir that could lift the Curse and allow my soul to rest, but I have been unable to find it. My strength now wanes, and with it the last of my humanity as well. Please aid me and find the Elixir. I will repay your efforts - I swear upon my honor.	true	Lachdanan1
TEXT_VEIL10	You have not found the Golden Elixir. I fear that I am doomed for eternity. Please, keep trying...	true	Lachdanan2
TEXT_VEIL11	You have saved my soul from damnation, and for that I am in your debt. If there is ever a way that I can repay you from beyond the grave I will find it, but for now - take my helm. On the journey I am about to take I will have little use for it. May it protect you against the dark powers below. Go with the Light, my friend...	true	Lachdanan3
TEXT_ANVIL1	Griswold speaks of The Anvil of Fury - a legendary artifact long searched for, but never found. Crafted from the metallic bones of the Razor Pit demons, the Anvil of Fury was smelt around the skulls of the five most powerful magi of the underworld. Carved with runes of power and chaos, any weapon or armor forged upon this Anvil will be immersed into the realm of Chaos, imbedding it with magical properties. It is said that the unpredictable nature of Chaos makes it difficult to know what the outcome of this smithing will be...	true	Cain14
TEXT_ANVIL2	Don't you think that Griswold would be a better person to ask about this? He's quite handy, you know.	true	Ogden12
TEXT_ANVIL3	If you had been looking for information on the Pestle of Curing or the Silver Chalice of Purification, I could have assisted you, my friend. However, in this matter, you would be better served to speak to either Griswold or Cain.	true	Pepin12
TEXT_ANVIL4	Griswold's father used to tell some of us when we were growing up about a giant anvil that was used to make mighty weapons. He said that when a hammer was struck upon this anvil, the ground would shake with a great fury. Whenever the earth moves, I always remember that story.	true	Gillian12
TEXT_ANVIL5	Greetings! It's always a pleasure to see one of my best customers! I know that you have been venturing deeper into the Labyrinth, and there is a story I was told that you may find worth the time to listen to...\n \nOne of the men who returned from the Labyrinth told me about a mystic anvil that he came across during his escape. His description reminded me of legends I had heard in my youth about the burning Hellforge where powerful weapons of magic are crafted. The legend had it that deep within the Hellforge rested the Anvil of Fury! This Anvil contained within it the very essence of the demonic underworld...\n \nIt is said that any weapon crafted upon the burning Anvil is imbued with great power. If this anvil is indeed the Anvil of Fury, I may be able to make you a weapon capable of defeating even the darkest lord of Hell! \n \nFind the Anvil for me, and I'll get to work!	true	Griswold21
TEXT_ANVIL6	Nothing yet, eh? Well, keep searching. A weapon forged upon the Anvil could be your best hope, and I am sure that I can make you one of legendary proportions.	true	Griswold22
TEXT_ANVIL7	I can hardly believe it! This is the Anvil of Fury - good work, my friend. Now we'll show those bastards that there are no weapons in Hell more deadly than those made by men! Take this and may Light protect you.	true	Griswold23
TEXT_ANVIL8	Griswold can't sell his anvil. What will he do then? And I'd be angry too if someone took my anvil!	true	Farnham14
TEXT_ANVIL9	There are many artifacts within the Labyrinth that hold powers beyond the comprehension of mortals. Some of these hold fantastic power that can be used by either the Light or the Darkness. Securing the Anvil from below could shift the course of the Sin War towards the Light.	true	Adria14
TEXT_ANVIL10	If you were to find this artifact for Griswold, it could put a serious damper on my business here. Awwww, you'll never find it.	true	Wirt13
TEXT_BLOOD1	The Gateway of Blood and the Halls of Fire are landmarks of mystic origin. Wherever this book you read from resides it is surely a place of great power.\n \nLegends speak of a pedestal that is carved from obsidian stone and has a pool of boiling blood atop its bone encrusted surface. There are also allusions to Stones of Blood that will open a door that guards an ancient treasure...\n \nThe nature of this treasure is shrouded in speculation, my friend, but it is said that the ancient hero Arkaine placed the holy armor Valor in a secret vault. Arkaine was the first mortal to turn the tide of the Sin War and chase the legions of darkness back to the Burning Hells.\n \nJust before Arkaine died, his armor was hidden away in a secret vault. It is said that when this holy armor is again needed, a hero will arise to don Valor once more. Perhaps you are that hero...	true	Cain15
TEXT_BLOOD2	Every child hears the story of the warrior Arkaine and his mystic armor known as Valor. If you could find its resting place, you would be well protected against the evil in the Labyrinth.	true	Ogden13
TEXT_BLOOD3	Hmm... it sounds like something I should remember, but I've been so busy learning new cures and creating better elixirs that I must have forgotten. Sorry...	true	Pepin13
TEXT_BLOOD4	The story of the magic armor called Valor is something I often heard the boys talk about. You had better ask one of the men in the village.	true	Gillian13
TEXT_BLOOD5	The armor known as Valor could be what tips the scales in your favor. I will tell you that many have looked for it - including myself. Arkaine hid it well, my friend, and it will take more than a bit of luck to unlock the secrets that have kept it concealed oh, lo these many years.	true	Griswold14
TEXT_BLOOD6	Zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz...	true	Farnham15
TEXT_BLOOD7	Should you find these Stones of Blood, use them carefully. \n \nThe way is fraught with danger and your only hope rests within your self trust.	true	Adria15
TEXT_BLOOD8	You intend to find the armor known as Valor? \n \nNo one has ever figured out where Arkaine stashed the stuff, and if my contacts couldn't find it, I seriously doubt you ever will either.	true	Wirt14
TEXT_WARLRD1	I know of only one legend that speaks of such a warrior as you describe. His story is found within the ancient chronicles of the Sin War...\n \nStained by a thousand years of war, blood and death, the Warlord of Blood stands upon a mountain of his tattered victims. His dark blade screams a black curse to the living; a tortured invitation to any who would stand before this Executioner of Hell.\n \nIt is also written that although he was once a mortal who fought beside the Legion of Darkness during the Sin War, he lost his humanity to his insatiable hunger for blood.	true	Cain18
TEXT_WARLRD2	I am afraid that I haven't heard anything about such a vicious warrior, good master. I hope that you do not have to fight him, for he sounds extremely dangerous.	true	Ogden16
TEXT_WARLRD3	Cain would be able to tell you much more about something like this than I would ever wish to know.	true	Pepin16
TEXT_WARLRD4	If you are to battle such a fierce opponent, may Light be your guide and your defender. I will keep you in my thoughts.	true	Gillian16
TEXT_WARLRD5	Dark and wicked legends surrounds the one Warlord of Blood. Be well prepared, my friend, for he shows no mercy or quarter.	true	Griswold17
TEXT_WARLRD6	Always you gotta talk about Blood? What about flowers, and sunshine, and that pretty girl that brings the drinks. Listen here, friend - you're obsessive, you know that?	true	Farnham17
TEXT_WARLRD7	His prowess with the blade is awesome, and he has lived for thousands of years knowing only warfare. I am sorry... I can not see if you will defeat him.	true	Adria18
TEXT_WARLRD8	I haven't ever dealt with this Warlord you speak of, but he sounds like he's going through a lot of swords. Wouldn't mind supplying his armies...	true	Wirt17
TEXT_WARLRD9	My blade sings for your blood, mortal, and by my dark masters it shall not be denied.	false	Warlord
TEXT_INFRA1	Griswold speaks of the Heaven Stone that was destined for the enclave located in the east. It was being taken there for further study. This stone glowed with an energy that somehow granted vision beyond that which a normal man could possess. I do not know what secrets it holds, my friend, but finding this stone would certainly prove most valuable.	true	Cain20
TEXT_INFRA2	The caravan stopped here to take on some supplies for their journey to the east. I sold them quite an array of fresh fruits and some excellent sweetbreads that Garda has just finished baking. Shame what happened to them...	true	Ogden18
TEXT_INFRA3	I don't know what it is that they thought they could see with that rock, but I will say this. If rocks are falling from the sky, you had better be careful!	true	Pepin18
TEXT_INFRA4	Well, a caravan of some very important people did stop here, but that was quite a while ago. They had strange accents and were starting on a long journey, as I recall. \n \nI don't see how you could hope to find anything that they would have been carrying.	true	Gillian18
TEXT_INFRA5	Stay for a moment - I have a story you might find interesting. A caravan that was bound for the eastern kingdoms passed through here some time ago. It was supposedly carrying a piece of the heavens that had fallen to earth! The caravan was ambushed by cloaked riders just north of here along the roadway. I searched the wreckage for this sky rock, but it was nowhere to be found. If you should find it, I believe that I can fashion something useful from it.	true	Griswold24
TEXT_INFRA6	I am still waiting for you to bring me that stone from the heavens. I know that I can make something powerful out of it.	true	Griswold25
TEXT_INFRA7	Let me see that - aye... aye, it is as I believed. Give me a moment...\n \nAh, Here you are. I arranged pieces of the stone within a silver ring that my father left me. I hope it serves you well.	true	Griswold26
TEXT_INFRA8	I used to have a nice ring; it was a really expensive one, with blue and green and red and silver. Don't remember what happened to it, though. I really miss that ring...	true	Farnham19
TEXT_INFRA9	The Heaven Stone is very powerful, and were it any but Griswold who bid you find it, I would prevent it. He will harness its powers and its use will be for the good of us all.	true	Adria20
TEXT_INFRA10	If anyone can make something out of that rock, Griswold can. He knows what he is doing, and as much as I try to steal his customers, I respect the quality of his work.	true	Wirt18
TEXT_MUSH1	The witch Adria seeks a black mushroom? I know as much about Black Mushrooms as I do about Red Herrings. Perhaps Pepin the Healer could tell you more, but this is something that cannot be found in any of my stories or books.	true	Cain21
TEXT_MUSH2	Let me just say this. Both Garda and I would never, EVER serve black mushrooms to our honored guests. If Adria wants some mushrooms in her stew, then that is her business, but I can't help you find any. Black mushrooms... disgusting!	true	Ogden19
TEXT_MUSH3	The witch told me that you were searching for the brain of a demon to assist me in creating my elixir. It should be of great value to the many who are injured by those foul beasts, if I can just unlock the secrets I suspect that its alchemy holds. If you can remove the brain of a demon when you kill it, I would be grateful if you could bring it to me.	true	Pepin26
TEXT_MUSH4	Excellent, this is just what I had in mind. I was able to finish the elixir without this, but it can't hurt to have this to study. Would you please carry this to the witch? I believe that she is expecting it.	true	Pepin27
TEXT_MUSH5	I think Ogden might have some mushrooms in the storage cellar. Why don't you ask him?	true	Gillian19
TEXT_MUSH6	If Adria doesn't have one of these, you can bet that's a rare thing indeed. I can offer you no more help than that, but it sounds like... a huge, gargantuan, swollen, bloated mushroom! Well, good hunting, I suppose.	true	Griswold19
TEXT_MUSH7	Ogden mixes a MEAN black mushroom, but I get sick if I drink that. Listen, listen... here's the secret - moderation is the key!	true	Farnham20
TEXT_MUSH8	What do we have here? Interesting, it looks like a book of reagents. Keep your eyes open for a black mushroom. It should be fairly large and easy to identify. If you find it, bring it to me, won't you?	true	Adria22
TEXT_MUSH9	It's a big, black mushroom that I need. Now run off and get it for me so that I can use it for a special concoction that I am working on.	true	Adria23
TEXT_MUSH10	Yes, this will be perfect for a brew that I am creating. By the way, the healer is looking for the brain of some demon or another so he can treat those who have been afflicted by their poisonous venom. I believe that he intends to make an elixir from it. If you help him find what he needs, please see if you can get a sample of the elixir for me.	true	Adria24
TEXT_MUSH11	Why have you brought that here? I have no need for a demon's brain at this time. I do need some of the elixir that the Healer is working on. He needs that grotesque organ that you are holding, and then bring me the elixir. Simple when you think about it, isn't it?	true	Adria25
TEXT_MUSH12	What? Now you bring me that elixir from the healer? I was able to finish my brew without it. Why don't you just keep it...	true	Adria26
TEXT_MUSH13	I don't have any mushrooms of any size or color for sale. How about something a bit more useful?	true	Wirt19
TEXT_DOOM1	So, the legend of the Map is real. Even I never truly believed any of it! I suppose it is time that I told you the truth about who I am, my friend. You see, I am not all that I seem...\n \nMy true name is Deckard Cain the Elder, and I am the last descendant of an ancient Brotherhood that was dedicated to keeping and safeguarding the secrets of a timeless evil. An evil that quite obviously has now been released...\n \nThe evil that you move against is the dark Lord of Terror - known to mortal men as Diablo. It was he who was imprisoned within the Labyrinth many centuries ago. The Map that you hold now was created ages ago to mark the time when Diablo would rise again from his imprisonment. When the two stars on that map align, Diablo will be at the height of his power. He will be all but invincible...\n \nYou are now in a race against time, my friend! Find Diablo and destroy him before the stars align, for we may never have a chance to rid the world of his evil again!	true	Cain22
TEXT_DOOM2	Our time is running short! I sense his dark power building and only you can stop him from attaining his full might.	true	Cain23
TEXT_DOOM3	I am sure that you tried your best, but I fear that even your strength and will may not be enough. Diablo is now at the height of his earthly power, and you will need all your courage and strength to defeat him. May the Light protect and guide you, my friend. I will help in any way that I am able.	true	Cain24
TEXT_DOOM4	If the witch can't help you and suggests you see Cain, what makes you think that I would know anything? It sounds like this is a very serious matter. You should hurry along and see the storyteller as Adria suggests.	true	Ogden20
TEXT_DOOM5	I can't make much of the writing on this map, but perhaps Adria or Cain could help you decipher what this refers to. \n \nI can see that it is a map of the stars in our sky, but any more than that is beyond my talents.	true	Pepin19
TEXT_DOOM6	The best person to ask about that sort of thing would be our storyteller. \n \nCain is very knowledgeable about ancient writings, and that is easily the oldest looking piece of paper that I have ever seen.	true	Gillian20
TEXT_DOOM7	I have never seen a map of this sort before. Where'd you get it? Although I have no idea how to read this, Cain or Adria may be able to provide the answers that you seek.	true	Griswold20
TEXT_DOOM8	Listen here, come close. I don't know if you know what I know, but you have really got somethin' here. That's a map.	true	Farnham21
TEXT_DOOM9	Oh, I'm afraid this does not bode well at all. This map of the stars portends great disaster, but its secrets are not mine to tell. The time has come for you to have a very serious conversation with the Storyteller...	true	Adria21
TEXT_DOOM10	I've been looking for a map, but that certainly isn't it. You should show that to Adria - she can probably tell you what it is. I'll say one thing; it looks old, and old usually means valuable.	true	Wirt20
